Topology,Host name,Parallelism Level,"Bandwidth cap (bitrate, Gbps)",Protocol,Packet Loss,Throughput (Gbps)
"star, k=8",h6,4,50,quic,0,80.7716291104578
"star, k=8",h6,4,75,quic,0,82.25678336025278
"star, k=8",h7,1,25,tcp,0,24.998031073569468
"star, k=8",h7,1,50,tcp,0,30.65524131535995
"star, k=8",h7,1,75,tcp,0,29.976723320851526
"star, k=8",h7,2,25,tcp,0,49.9911944635798
"star, k=8",h7,2,50,tcp,0,51.8439430071457
"star, k=8",h7,2,75,tcp,0,52.34114488306023
"star, k=8",h7,4,25,tcp,0,92.43535346391752
"star, k=8",h7,4,50,tcp,0,83.05311873425525
"star, k=8",h7,4,75,tcp,0,84.0478329911373
"star, k=8",h7,1,25,udp,1.0189415867059037,2.2045940140080833
"star, k=8",h7,1,50,udp,1.216897658451084,2.361344039288162
"star, k=8",h7,1,75,udp,1.2435686010263227,2.401086632633647
"star, k=8",h7,2,25,udp,0.3185944918330535,4.642941878500418
"star, k=8",h7,2,50,udp,0.36656535605134055,4.639321224989065
"star, k=8",h7,2,75,udp,1.4648596837264258,4.642616746454683
"star, k=8",h7,4,25,udp,1.5601938002800162,8.48612280739644
"star, k=8",h7,4,50,udp,0.502859557344635,8.166844204922453
"star, k=8",h7,4,75,udp,0.7880786827674776,8.221536299614073
"star, k=8",h7,1,25,quic,0,24.99777714988806
"star, k=8",h7,1,50,quic,0,29.90150598784204
"star, k=8",h7,1,75,quic,0,27.773092183932942
"star, k=8",h7,2,25,quic,0,49.99178238117248
"star, k=8",h7,2,50,quic,0,52.97990954499
"star, k=8",h7,2,75,quic,0,52.75231559696351
"star, k=8",h7,4,25,quic,0,91.85791576760846
"star, k=8",h7,4,50,quic,0,85.3240781043206
"star, k=8",h7,4,75,quic,0,82.61545042287382
"star, k=8",h8,1,25,tcp,0,24.995011616048014
"star, k=8",h8,1,50,tcp,0,29.010082622850163
"star, k=8",h8,1,75,tcp,0,27.619273899689578
"star, k=8",h8,2,25,tcp,0,49.99416382005048
"star, k=8",h8,2,50,tcp,0,52.1054880417524
"star, k=8",h8,2,75,tcp,0,51.96030459356864
"star, k=8",h8,4,25,tcp,0,91.48422251537502
"star, k=8",h8,4,50,tcp,0,78.49668851848617
"star, k=8",h8,4,75,tcp,0,74.910229108916
"star, k=8",h8,1,25,udp,1.092852687380802,2.066484014912184
"star, k=8",h8,1,50,udp,1.232268902498738,2.3058119858221184
"star, k=8",h8,1,75,udp,0.9351767224834115,2.3590197492923832
"star, k=8",h8,2,25,udp,0.19205938382644328,4.607346699234825
"star, k=8",h8,2,50,udp,0.5616347932560354,4.475022361190316
"star, k=8",h8,2,75,udp,0.48855478193440355,4.59734910618533
"star, k=8",h8,4,25,udp,1.394623759126658,8.519013720369703
"star, k=8",h8,4,50,udp,0.4844690019810034,8.110717959993494
"star, k=8",h8,4,75,udp,0.478557197916996,8.020998262147645
